path,kind,bytes,codec,container,width,height,r_frame_rate,avg_frame_rate,container_duration_s,decoded_frame_count,pix_fmt
data/external/comma2k19/Example_1/b0c9d2329ad1606b|2018-08-02--08-34-47/40/preview.png,image,496734,,png,1164,874,,,,,
data/external/comma2k19/Example_1/b0c9d2329ad1606b|2018-08-02--08-34-47/40/video.hevc,video,37491754,hevc,hevc,1164,874,1200000/1,25/1,,1200,yuv420p
data/external/comma2k19/assets/merged.png,image,1902291,,png,1635,754,,,,,
data/external/comma2k19/assets/testmesh3d.png,image,1351043,,png,2307,847,,,,,
data/stage1/videos/original/000001.mp4,video,526859,mpeg4,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/original/000002.mp4,video,286879,mpeg4,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/original/000003.mp4,video,427410,mpeg4,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/original/000004.mp4,video,305244,mpeg4,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/original/000005.mp4,video,363811,mpeg4,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/rerecorded/000001.mp4,video,1029884,h264,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/rerecorded/000002.mp4,video,616068,h264,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/rerecorded/000003.mp4,video,934964,h264,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
data/stage1/videos/rerecorded/000004.mp4,video,674416,h264,"mov,mp4,m4a,3gp,3g2,mj2",1280,720,10/1,10/1,5.000000,50,yuv420p
